geo,forest_products_removal_per_ha_dollar,time
pry,98,9999
pyf,4,1990
pyf,6,2000
pyf,6,2005
pyf,6,2010
pyf,6,2015
pyf,6,9999
qat,0,1990
qat,0,2000
qat,0,2005
qat,0,2010
qat,0,2015
qat,0,9999
reu,6,1990
reu,5,2000
reu,4,2005
reu,4,2010
reu,4,2015
reu,4,9999
rou,4186,1990
rou,3043,2000
rou,2985,2005
rou,3043,2010
rou,3501,2015
rou,3501,9999
rus,446678.6,1990
rus,411437.1,2000
rus,413103,2005
rus,421491,2010
rus,415073.7,2015
rus,415073.7,9999
rwa,217,1990
rwa,247,2000
rwa,271,2005
rwa,321,2010
rwa,351,2015
rwa,351,9999
sau,0,1990
sau,0,2000
sau,0,2005
sau,0,2010
sau,0,2015
sau,0,9999
sdn,12020.86,1990
sdn,11131.34,2000
sdn,10686.58,2005
sdn,10241.83,2010
sdn,9797.07,2015
sdn,9797.07,9999
sen,5573,1990
sen,5304,2000
sen,5170,2005
sen,5051,2010
sen,4942,2015
sen,4942,9999
sgp,0,1990
sgp,0,2000
sgp,0,2005
sgp,0,2010
sgp,0,2015
sgp,0,9999
sjm,0,1990
sjm,0,2000
sjm,0,2005
sjm,0,2010
sjm,0,2015
sjm,0,9999
slb,554.2,1990
slb,538.2,2000
slb,376.3,2005
slb,376.3,2010
slb,376.3,2015
slb,376.3,9999
sle,240,1990
sle,240,2000
sle,240,2005
sle,240,2010
sle,240,2015
sle,240,9999
slv,92.5,1990
slv,80.5,2000
slv,74.3,2005
slv,68.4,2010
slv,62.5,2015
slv,62.5,9999
smr,0,1990
smr,0,2000
smr,0,2005
smr,0,2010
smr,0,2015
smr,0,9999
som,3,1990
som,3,2000
som,3,2005
som,3,2010
som,3,2015
som,3,9999
spm,0,1990
spm,0,2000
spm,0,2005
spm,0,2010
spm,0,2015
spm,0,9999
srb,2013,1990
srb,1952,2000
srb,1628,2005
srb,2276,2010
srb,1787,2015
srb,1787,9999
sur,354,1990
sur,1686,2000
sur,1996,2005
sur,1965,2010
sur,2000,2015
sur,2000,9999
svk,655,1990
svk,280,2000
svk,125,2005
svk,129,2010
svk,285,2015
svk,285,9999
svn,645,1990
svn,667,2000
svn,676,2005
svn,553,2010
svn,555,2015
svn,555,9999
swe,22691,1990
swe,20638,2000
swe,20101,2005
swe,19900,2010
swe,19699,2015
swe,19699,9999
swz,160,1990
swz,150,2000
swz,145,2005
swz,140,2010
swz,135,2015
swz,135,9999
syc,1,1990
syc,1,2000
syc,1,2005
syc,1,2010
syc,1,2015
syc,1,9999
syr,0,1990
syr,0,2000
syr,0,2005
syr,0,2010
tcd,5552,1990
tcd,5170,2000
